review_id,order_id,store_id,rating,review_text,review_date
51,99,30,3.3,"The caesar salad was fresh and crisp, with a creamy dressing and plenty of croutons.",2023-08-02
52,124,20,4.6,"The bento box had a great variety of dishes, including grilled fish and pickled vegetables. Very satisfying!",2023-10-11
53,120,3,4.1,The fried chicken had a crispy coating and was juicy inside. The side of pickled radish was a nice touch.,2023-12-21
54,54,16,4.0,"The fried rice had a nice smoky flavor, and the dumplings were packed with delicious filling.",2023-01-07
55,34,3,4.2,"The bulgogi was tender and flavorful, and the kimchi was perfectly fermented. A great meal!",2023-07-01
56,180,13,4.7,The sushi rolls were fresh and beautifully presented. The salmon sashimi was tender and flavorful.,2023-04-25
57,182,23,4.5,"I loved the tempura! The batter was light and crispy, and the shrimp was cooked perfectly.",2023-07-10
58,107,27,4.6,The chicken wings were crispy and coated in a spicy buffalo sauce. Perfect with a side of blue cheese dip.,2023-08-14
59,200,9,3.5,The seafood pancake was crispy on the outside and packed with squid and shrimp. Great with the dipping sauce.,2023-09-04
60,139,2,4.8,"I loved the spicy tteokbokki! The rice cakes were soft, and the sauce was deliciously spicy.",2023-01-07
61,117,10,4.3,"The kung pao chicken had a great combination of sweet, savory, and spicy flavors, with a nice crunch from the peanuts.",2023-05-22
62,68,14,3.1,"The bento box had a great variety of dishes, including grilled fish and pickled vegetables. Very satisfying!",2023-07-17
63,79,9,3.3,,2023-08-18
64,43,22,4.8,,2023-07-08
65,18,16,4.7,I loved the mapo tofu! It had just the right amount of spice and went perfectly with rice.,2023-06-21
66,6,13,3.1,The sushi rolls were fresh and beautifully presented. The salmon sashimi was tender and flavorful.,2023-04-02
67,128,10,4.7,"The hot and sour soup was rich and tangy, with plenty of mushrooms and tofu.",2023-08-21
68,106,23,3.9,"The miso soup was warm and comforting, with just the right amount of saltiness.",2023-02-26
69,49,27,4.9,"The mac and cheese was rich and creamy, with a nice golden crust on top.",2023-10-13
70,67,29,4.6,,2023-01-09
71,55,13,3.5,"The ramen had a rich, savory broth, and the noodles were perfectly cooked. The pork slices were tender.",2023-09-21
72,85,19,3.8,The seafood pancake was crispy on the outside and packed with squid and shrimp. Great with the dipping sauce.,2023-04-07
73,184,3,4.2,The seafood pancake was crispy on the outside and packed with squid and shrimp. Great with the dipping sauce.,2023-07-22
74,159,12,4.3,,2023-03-01
75,167,25,4.8,,2023-07-28
76,114,29,5.0,,2023-07-09
77,13,12,3.5,,2023-06-06
78,118,8,3.4,"The udon noodles were thick and chewy, served in a flavorful broth with slices of beef.",2023-07-01
79,94,23,4.7,"The bento box had a great variety of dishes, including grilled fish and pickled vegetables. Very satisfying!",2023-06-17
80,121,24,4.4,The sushi rolls were fresh and beautifully presented. The salmon sashimi was tender and flavorful.,2023-04-05
